Ministerio,Entidad,Enlace Portal,Enlace Historico
MINISTERIO DEL INTERIOR Y SEGURIDAD PÚBLICA,Subsecretaría de Desarrollo Regional y Administrativo,https://www.portaltransparencia.cl/PortalPdT/directorio-de-organismos-regulados/?org=AB002,
MINISTERIO DEL INTERIOR Y SEGURIDAD PÚBLICA,Subsecretaría de Prevención del Delito,https://www.portaltransparencia.cl/PortalPdT/directorio-de-organismos-regulados/?org=AB091,
MINISTERIO DEL INTERIOR Y SEGURIDAD PÚBLICA,Susecretaría del interior,https://www.portaltransparencia.cl/PortalPdT/directorio-de-organismos-regulados/?org=AB001,https://www.interior.gob.cl/transparencia/sag/index.html
MINISTERIO DE RELACIONES EXTERIORES,Susecretaría de Relaciones Exteriores,https://www.portaltransparencia.cl/PortalPdT/directorio-de-organismos-regulados/?org=AC001,https://www.minrel.gob.cl/transparencia/
MINISTERIO DE RELACIONES EXTERIORES,Subsecretaría de Relaciones Económicas Internacionales,https://www.portaltransparencia.cl/PortalPdT/directorio-de-organismos-regulados/?org=AC007,
MINISTERIO DE DEFENSA NACIONAL,Subsecretaría para las Fuerzas Armadas,https://www.portaltransparencia.cl/PortalPdT/directorio-de-organismos-regulados/?org=AD022,
MINISTERIO DE DEFENSA NACIONAL,Subsecretaría de Defensa,https://www.portaltransparencia.cl/PortalPdT/directorio-de-organismos-regulados/?org=AD021,
MINISTERIO DE HACIENDA,Subsecretaría de Hacienda,https://www.portaltransparencia.cl/PortalPdT/directorio-de-organismos-regulados/?org=AE001,https://www.hacienda.cl/transparencia/
MINISTERIO SECRETARÍA GENERAL DE LA PRESIDENCIA,Subsecretaría Secretaría General de la Presidencia,https://www.portaltransparencia.cl/PortalPdT/directorio-de-organismos-regulados/?org=AF001,
MINISTERIO SECRETARÍA GENERAL DE GOBIERNO,Subsecretaría de Gobierno,https://www.portaltransparencia.cl/PortalPdT/directorio-de-organismos-regulados/?org=AG001,https://transparencia.msgg.gob.cl/index_historico.html
"MINISTERIO DE ECONOMÍA, FOMENTO Y TURISMO",Subsecretaría de Economía y Empresas de Menor Tamaño,https://www.portaltransparencia.cl/PortalPdT/directorio-de-organismos-regulados/?org=AH001,https://transparencia.economia.cl/home.html
"MINISTERIO DE ECONOMÍA, FOMENTO Y TURISMO",Subsecretaría de Turismo,https://www.portaltransparencia.cl/PortalPdT/directorio-de-organismos-regulados/?org=AH011,https://transparencia.economia.cl/home.html
